Gene name,Tropical clawed frog gene name,Tropical clawed frog homology type
zgc:162879,ccdc93,ortholog_one2one
oma1,oma1,ortholog_one2one
fyba,fyb1,ortholog_one2many
mphosph8,mphosph8,ortholog_one2one
ankmy1,ankmy1,ortholog_one2one
ptk6b,ptk6,ortholog_one2many
prkcbp1l,zmynd8,ortholog_one2many
m1ap,m1ap,ortholog_one2one
fbxo10,fbxo10,ortholog_one2one
b4galt5,b4galt6,ortholog_one2one
smu1b,smu1,ortholog_one2many
pfdn1,pfdn1,ortholog_one2one
c9,c9,ortholog_one2one
ints13,ints13,ortholog_one2one
gpc1a,gpc1,ortholog_one2many
si:ch211-232p21.6,,ortholog_many2many
spo11,spo11,ortholog_one2one
ccar1,ccar1,ortholog_one2one
atp1b4,atp1b4,ortholog_one2one
ssbp3a,ssbp3,ortholog_one2many
hbegfb,hbegf,ortholog_one2many
snf8,snf8,ortholog_one2one
slc12a4,slc12a4,ortholog_one2one
rpl30,rpl30,ortholog_one2one
scara5,scara5,ortholog_one2one
emc7,emc7,ortholog_one2many
maea,maea,ortholog_one2one
si:dkey-27d5.6,rbbp6,ortholog_one2many
uap1l1,uap1l1,ortholog_one2one
si:ch73-313l22.2,cabin1,ortholog_one2many
rarres3l,,ortholog_many2many
rarres3l,plaat4,ortholog_many2many
rarres3l,plaat3,ortholog_many2many
TIMM21,timm21,ortholog_one2one
c1ql3b,c1ql3,ortholog_one2many
kdm6a,kdm6a,ortholog_one2one
nck1a,nck1,ortholog_one2many
rps6,rps6,ortholog_one2one
bmp8a,bmp8,ortholog_one2one
cyp4t8,cyp4b1,ortholog_one2many
cyp4t8,cyp4b1.4,ortholog_one2many
cyp4t8,cyp4b1.5,ortholog_one2many
cabin1,cabin1,ortholog_one2many
ncapd3,thyn1,ortholog_one2one
si:ch211-51c14.1,mgc147475,ortholog_one2many
fhl2b,fhl2,ortholog_one2many
gnat1,gnat1,ortholog_one2one
zdhhc12b,zdhhc12,ortholog_one2many
nmt1a,nmt1,ortholog_one2many
tubb5,tubb,ortholog_one2one
dnaja1,dnaja4.2,ortholog_one2one
grb10b,grb10,ortholog_one2many
grhl3,grhl3,ortholog_one2one
rida,rida,ortholog_one2one
ipo9,ipo9,ortholog_one2one
ptpn5,PTPN5,ortholog_one2one
aldob,aldob,ortholog_one2one
hsd17b3,hsd17b3,ortholog_one2one
MRAS,mras,ortholog_one2many
mfsd6l,mfsd6l,ortholog_one2one
micu1,micu1,ortholog_one2one
yap1,yap1,ortholog_one2one
slc4a10a,slc4a10,ortholog_one2many
phf6,phf6,ortholog_one2one
gadd45ba,gadd45b,ortholog_one2many
cops4,cops4,ortholog_one2one
si:ch73-237c6.1,cfp,ortholog_one2many
b9d2,b9d2,ortholog_one2one
rc3h1b,rc3h1,ortholog_one2many
celsr1b,celsr1,ortholog_one2many
zgc:110789,,ortholog_one2one
ggcx,ggcx,ortholog_one2one
patz1,patz1,ortholog_one2one
spcs2,spcs2,ortholog_one2one
clk2a,clk2,ortholog_one2many
bmp4,bmp4,ortholog_one2one
snx22,snx22,ortholog_one2one
keap1a,,ortholog_one2one
cfp,cfp,ortholog_one2many
laptm4b,laptm4b,ortholog_one2one
hs3st3l,hs3st6,ortholog_one2one
snx4,,ortholog_one2many
vps53,vps53,ortholog_one2one
tp53bp2b,tp53bp2,ortholog_one2many
zgc:172341,ddo,ortholog_one2one
stmn4l,stmn4,ortholog_one2many
lrrc8ab,lrrc8a,ortholog_one2many
plcd3a,plcd3,ortholog_one2many
dhrs7cb,dhrs7c,ortholog_one2many
gata3,gata3,ortholog_one2one
mfsd2ab,mfsd2a,ortholog_one2many
drd6b,drd1c,ortholog_one2many
nmu,nmu,ortholog_one2one
hnrnph1l,hnrnph1,ortholog_one2many
pla2g15,pla2g15,ortholog_one2one
crema,crem,ortholog_one2one
ikbkg,ikbkg,ortholog_one2one
klf7a,klf7,ortholog_one2many
prmt1,prmt1,ortholog_one2one
pi4k2a,pi4k2a,ortholog_one2one
nek7,nek7,ortholog_one2one
cdkn2d,cdkn2d,ortholog_one2one
fundc1,fundc1,ortholog_one2one
btg4,elp6,ortholog_one2one
gpnmb,gpnmb,ortholog_one2one
si:ch211-12p12.2,MGC147490,ortholog_many2many
si:ch211-12p12.2,xnf7,ortholog_many2many
myo19,myo19,ortholog_one2one
l3mbtl2,l3mbtl2,ortholog_one2one
cers1,cers1,ortholog_one2one
kpnb3,ipo5,ortholog_one2one
si:dkeyp-69b9.6,znf865,ortholog_one2many
hspa12a,hspa12a,ortholog_one2one
prrt1,prrt1,ortholog_one2one
si:dkey-27d5.5,rbbp6,ortholog_one2many
si:dkey-261m9.12,,ortholog_many2many
cdca7a,cdca7,ortholog_one2one
slc30a8,slc30a8,ortholog_one2one
itgb2,itgb2,ortholog_one2one
cplx3b,lman1l,ortholog_one2many
phf14,phf14,ortholog_one2one
efhc2,efhc2,ortholog_one2one
mafb,maf,ortholog_one2many
gpr137bb,gpr137b,ortholog_one2many
mgll,mgll,ortholog_one2one
nr3c2,nr3c2,ortholog_one2one
f10,f10,ortholog_one2one
necab3,,ortholog_one2one
kank1a,kank1,ortholog_one2one
zgc:112962,tor1aip1,ortholog_many2many
zgc:112962,tor1aip2,ortholog_many2many
mmachc,mmachc,ortholog_one2one
add2,add2,ortholog_one2one
si:ch73-343l4.6,,ortholog_many2many
il17a/f1,,ortholog_many2many
kcnk1a,kcnk1,ortholog_one2many
dgkza,dgkz,ortholog_one2many
aar2,aar2,ortholog_one2one
zgc:174164,XB990656 [provisional:adam9],ortholog_many2many
zgc:174164,adam10,ortholog_many2many
epha6,epha6,ortholog_one2one
zgc:64051,cd53,ortholog_one2one
lrrc31,lrrc31,ortholog_one2one
cobll1b,cobll1,ortholog_one2many
cela1.2,cela1.2,ortholog_one2many
cdt1,cdt1,ortholog_one2one
abcg1,abcg1,ortholog_one2one
cbx2,syngr2,ortholog_one2one
pgap3,pgap3,ortholog_one2one
ythdf3,ythdf3,ortholog_one2one
eif3eb,eif3e,ortholog_one2many
phf23a,phf23,ortholog_one2many
fam49a,cyria,ortholog_one2one
tspan12,tspan12,ortholog_one2one
ncam2,ncam2,ortholog_one2many
hcn4,hcn4,ortholog_one2many
camkk1b,camkk1,ortholog_one2many
si:rp71-1f1.4,XB22062350 [provisional:nat2],ortholog_one2many
nt5c2a,nt5c2,ortholog_one2many
BRD8,brd8,ortholog_one2many
mn1b,mn1,ortholog_one2many
rhcgl1,rhcg,ortholog_one2many
cux2b,cux2,ortholog_one2one
smyd5,smyd5,ortholog_one2one
zgc:171844,bmerb1l,ortholog_one2many
cnpy1,cnpy1,ortholog_one2one
ing1,ing1,ortholog_one2one
si:ch73-343l4.5,,ortholog_many2many
washc5,washc5,ortholog_one2one
si:dkey-37m8.11,MGC147490,ortholog_many2many
si:dkey-37m8.11,xnf7,ortholog_many2many
anxa13l,anxa13,ortholog_many2many
zfat,zfat,ortholog_one2one
ddhd1a,ddhd1,ortholog_one2many
kirrel3a,kirrel3,ortholog_one2many
zgc:136767,MGC147490,ortholog_many2many
zgc:136767,xnf7,ortholog_many2many
si:rp71-1f1.5,XB22062350 [provisional:nat2],ortholog_one2many
si:ch211-282j17.12,,ortholog_many2many
elk1,elk1,ortholog_one2one
mfsd2b,mfsd2b,ortholog_one2one
aprt,aprt,ortholog_one2one
scn4bb,scn4b,ortholog_one2many
npb,npb,ortholog_one2one
ndst2b,ndst2,ortholog_one2many
atg9a,atg9a,ortholog_one2one
naa38,naa38,ortholog_one2one
jun,jun,ortholog_one2one
pter,pter,ortholog_one2one
fgfr1b,fgfr1,ortholog_many2many
fgfr1b,fgfr4,ortholog_many2many
rbm33b,rbm33,ortholog_one2many
tbc1d9,tbc1d9,ortholog_one2one
pcolce2b,pcolce2,ortholog_one2many
dhx40,dhx40,ortholog_one2one
srsf5a,srsf5a,ortholog_one2one
wdcp,wdcp,ortholog_one2one
kif1aa,kif1a,ortholog_one2one
tgfa,XB5893022 [provisional],ortholog_one2many
tgfa,tgfa,ortholog_one2many
kcnk5a,kcnk5,ortholog_one2many
st6galnac6,st6galnac6,ortholog_one2one
pfkpb,pfkp,ortholog_one2many
st3gal1l3,st3gal1,ortholog_one2many
u2surp,u2surp,ortholog_one2one
si:ch211-282j17.13,,ortholog_many2many
palm1a,rxra,ortholog_one2many
rapgef2,rapgef2,ortholog_one2many
fam114a1,fam114a1,ortholog_one2one
dtnbb,dtnb,ortholog_one2one
slc2a11a,slc2a11,ortholog_one2one
dand5,dand5,ortholog_one2one
ncln,ncln,ortholog_one2one
gsk3bb,gsk3b,ortholog_one2many
mastl,bcl7c,ortholog_one2one
tmprss3a,tmprss3,ortholog_one2many
prickle1b,prickle1,ortholog_one2many
itsn2a,itsn2,ortholog_one2many
si:ch211-66i15.4,pifo,ortholog_one2one
cnnm2a,cnnm2,ortholog_one2many
dhrs12,dhrs12,ortholog_one2one
si:dkey-27d5.4,rbbp6,ortholog_one2many
zgc:123244,tmem150b,ortholog_one2one
odf3l2a,odf3l1,ortholog_one2many
pigw,pigw,ortholog_one2one
bivm,bivm,ortholog_one2one
stx5a,stx5,ortholog_one2many
oaz1a,oaz1,ortholog_one2one
neil1,neil1,ortholog_one2one
cbfa2t2,cbfa2t2,ortholog_one2one
stag2a,stag2,ortholog_one2many
tube1,tube1,ortholog_one2many
gipc3,gipc3,ortholog_one2one
nasp,nasp,ortholog_one2one
zgc:112185,c8orf33,ortholog_one2one
zdhhc17,zdhhc17,ortholog_one2one
adsl,adsl,ortholog_one2one
dlgap1b,dlgap1,ortholog_one2many
med30,med30,ortholog_one2one
pknox1.1,pknox1,ortholog_one2many
si:dkey-119m7.4,slc22a5,ortholog_many2many
si:dkey-119m7.4,slc22a4,ortholog_many2many
si:dkey-256i11.2,,ortholog_many2many
si:dkey-256i11.2,MGC146893,ortholog_many2many
si:dkey-256i11.2,znf84,ortholog_many2many
mthfs,mthfs,ortholog_one2one
fam83b,fam83b,ortholog_one2one
tpd52l2b,tpd52l2,ortholog_one2many
pex10,pex10,ortholog_one2one
pth2ra,pth2r,ortholog_one2many
paip1,paip1,ortholog_one2one
atp6v0a1a,atp6v0a1,ortholog_one2many
caiap,,ortholog_one2one
smpd1,smpd1,ortholog_one2one
zgc:66474,hic1,ortholog_one2one
rbm38,rbm38,ortholog_one2one
nck2b,nck2,ortholog_one2many
slc35g2a,slc35g2,ortholog_one2many
ccn6,ccn6,ortholog_one2one
snx10b,snx10,ortholog_one2many
tmem161a,tmem161a,ortholog_one2one
mlec,mlec,ortholog_one2one
caspa,casp1,ortholog_one2many
mchr2,,ortholog_one2one
arhgap23a,arhgap23,ortholog_one2many
nid1b,nid1,ortholog_one2many
napba,napb,ortholog_one2many
si:rp71-1f1.6,XB22062350 [provisional:nat2],ortholog_one2many
kcnc1a,kcnc1,ortholog_one2many
frmd3,frmd3,ortholog_one2one
mipb,mip,ortholog_one2many
arcn1a,arcn1,ortholog_one2many
ube2f,ube2f,ortholog_one2one
si:ch73-23l24.1,,ortholog_one2one
ilk,ilk,ortholog_one2one
slx1b,slx1a,ortholog_one2one
taf8,taf8,ortholog_one2one
ube2h,ube2h,ortholog_one2one
cavin1a,cavin1,ortholog_one2many
slc35f3a,slc35f3,ortholog_one2many
nolc1,nolc1,ortholog_one2one
snx1a,snx1,ortholog_one2many
slc3a2a,slc3a2,ortholog_one2many
cbln4,cbln4,ortholog_one2one
si:dkey-118j18.2,,ortholog_one2one
tufm,,ortholog_one2one
snip1,slc4a1ap,ortholog_one2many
chrm5b,chrm5,ortholog_one2many
itgb1a,itgb1,ortholog_one2many
st3gal3a,st3gal3,ortholog_one2many
nfixa,nfix,ortholog_one2many
kcnk17,XB5727110 [provisional:kcnk16],ortholog_one2one
shisa4,shisa4,ortholog_one2one
ubxn2a,ubxn2a,ortholog_one2one
C20H6orf58,c6orf58,ortholog_one2many
si:ch211-261n11.7,,ortholog_one2many
podxl,podxl,ortholog_one2one
xrcc1,xrcc1,ortholog_one2one
rab43,rab43,ortholog_one2one
prozb,proz,ortholog_one2many
faah2b,faah2,ortholog_one2many
atp6ap1b,atp6ap1.2,ortholog_one2many
shtn1,shtn1,ortholog_one2one
entpd1,entpd1,ortholog_one2one
tox2,tox2,ortholog_one2one
p3h3,rassf6,ortholog_one2one
edem1,edem1,ortholog_one2one
crybg1b,crybg1,ortholog_one2many
bicd1a,bicd1,ortholog_one2many
ncapd2,ncapd2,ortholog_one2one
tnfrsfa,TNFRSF25,ortholog_many2many
tnfrsfa,tnfrsf11a,ortholog_many2many
tnfrsfa,tnfrsf10b,ortholog_many2many
tnfrsfa,,ortholog_many2many
ropn1l,ropn1l,ortholog_one2one
stpg1,stpg1,ortholog_one2one
mrvi1,irag1,ortholog_one2one
mdc1,mdc1,ortholog_one2one
matn3b,matn3,ortholog_one2many
si:ch73-386h18.1,zfhx2,ortholog_one2one
taf3,taf3,ortholog_one2one
st6galnac4,st6galnac4,ortholog_one2one
tmem72,tmem72,ortholog_one2one
snap29,snap29,ortholog_one2one
nt5c2l1,nt5dc4,ortholog_one2one
cep126,cep126,ortholog_one2one
phkb,phkb,ortholog_one2one
pdcd6,pdcd6,ortholog_one2one
nelfa,nelfa,ortholog_one2one
ywhag2,ywhag,ortholog_one2many
rabl2,rabl2b,ortholog_one2one
si:ch1073-391i24.1,ptprm,ortholog_one2many
tgfbr3,tgfbr3,ortholog_one2one
thsd7bb,thsd7b,ortholog_one2many
si:dkey-96f10.1,pfkfb1,ortholog_one2many
rbfa,rbfa,ortholog_one2one
si:ch211-13f8.1,kiaa1614,ortholog_one2many
shank1,,ortholog_one2one
eno4,eno4,ortholog_one2one
epas1b,epas1,ortholog_one2many
si:ch73-343l4.3,,ortholog_many2many
si:ch211-180f4.1,lrrn1-like,ortholog_one2one
ppp2r5a,ppp2r5a,ortholog_one2one
atad2b,atad2b,ortholog_one2one
bhlhe22,bhlhe22,ortholog_one2one
grip2b,grip2,ortholog_one2many
plch1,plch1,ortholog_one2one
fermt2,fermt2,ortholog_one2one
bud23,bud23,ortholog_one2one
ercc2,ercc2,ortholog_one2one
drd2b,drd2,ortholog_one2many
grm1b,grm1,ortholog_one2many
tph1a,,ortholog_one2many
si:ch211-197k17.3,AVPI1,ortholog_one2one
kat5b,kat5,ortholog_one2many
arhgef28a,arhgef28,ortholog_one2one
entpd2b,entpd2,ortholog_one2many
fam83ha,fam83h,ortholog_one2many
lyve1a,lyve1,ortholog_one2many
spred3,spred3,ortholog_one2one
hspbp1,hspbp1,ortholog_one2one
eif4g3b,eif4g3,ortholog_one2many
dtl,dtl,ortholog_one2one
ankrd33ba,ankrd33b,ortholog_one2many
mtres1,mtres1,ortholog_one2one
dyrk1aa,dyrk1a,ortholog_one2many
dolpp1,dolpp1,ortholog_one2one
cpa1,cpa1,ortholog_one2many
acp1,acp1,ortholog_one2one
glrbb,glrb,ortholog_one2many
cela1.3,cela1.2,ortholog_one2many
tasp1,tasp1,ortholog_one2one
ncor2,ncor2,ortholog_one2one
snai2,snai1,ortholog_one2one
ecrg4b,ecrg4,ortholog_one2many
rca2.1,arc2,ortholog_one2many
mab21l1,mab21l1,ortholog_one2one
si:dkeyp-92c9.2,,ortholog_one2one
si:ch211-105f12.2,tspoap1,ortholog_one2many
nbeab,nbea,ortholog_one2many
si:dkey-27d5.3,rbbp6,ortholog_one2many
cobl,cobl,ortholog_one2one
zgc:173552,h3c14,ortholog_one2one
aven,aven,ortholog_one2one
ppdpfb,ppdpf,ortholog_one2many
adnpb,adnp,ortholog_one2many
cd151,cd151,ortholog_one2many
ssbp2,ssbp2,ortholog_one2many
best2,best2,ortholog_one2one
cep41,cep41,ortholog_one2one
atrx,cox17,ortholog_one2many
ap3s2,ap3s2,ortholog_one2one
hist1h2a5,h2ax.2,ortholog_one2one
crtap,crtap,ortholog_one2one
gria2b,gria2,ortholog_one2many
arr3a,arr3,ortholog_one2many
ube2q2,ube2q2,ortholog_one2many
ints7,ints7,ortholog_one2one
mapre2,mapre2,ortholog_one2one
si:ch211-186j3.6,,ortholog_one2one
zgc:153405,,ortholog_many2many
ntrk2b,ntrk2,ortholog_one2many
zgc:194621,epsti1,ortholog_one2one
ryr3,ryr3,ortholog_one2many
zgc:101858,mgc79752,ortholog_one2one
rnf11a,rnf11.2,ortholog_one2one
pabpc1l,pabpc1l,ortholog_one2one
cinp,cinp,ortholog_one2one
tmpoa,tmpo,ortholog_one2many
stmn2a,stmn2,ortholog_one2many
mpzl2b,mpzl2,ortholog_one2one
atp11c,atp11c,ortholog_one2one
kcnj1a.5,kcnj1,ortholog_one2many
snrnp48,snrnp48,ortholog_one2one
tmem238a,tmem238,ortholog_one2one
slc26a10,slc26a10,ortholog_one2one
keap1b,keap1,ortholog_one2one
casc4,golm2,ortholog_one2one
slc16a7,,ortholog_one2one
slc9a3r1a,slc9a3r1,ortholog_one2many
kcnj1a.3,kcnj1,ortholog_one2many
ebi3,ebi3,ortholog_one2one
get3,get3,ortholog_one2one
gtf2h5,gtf2h5,ortholog_one2one
cdh26.1,cdh26,ortholog_one2one
kcnj1a.4,kcnj1,ortholog_one2many
glsa,gls,ortholog_one2many
meaf6,meaf6,ortholog_one2one
kcnj1a.2,kcnj1,ortholog_one2many
spoplb,spopl,ortholog_one2many
eps8l3b,eps8l3,ortholog_one2many
kcnj1a.6,kcnj1,ortholog_one2many
rec8b,rec8,ortholog_one2many
emilin2a,emilin2,ortholog_one2many
ralgapb,ralgapb,ortholog_one2one
ing3,ing3,ortholog_one2one
mrpl39,mrpl39,ortholog_one2one
rnasekb,rnasek,ortholog_one2many
sec61g,sec61g,ortholog_one2one
sgce,sgce,ortholog_one2one
si:dkey-33c12.4,,ortholog_one2one
ace,ace,ortholog_one2one
nyap2b,nyap2,ortholog_one2many
dennd3b,dennd3,ortholog_one2many
slc7a9,slc7a9,ortholog_one2one
C10H17orf49,c17orf49,ortholog_one2many
adnp2a,adnp2,ortholog_one2many
skilb,skil,ortholog_one2many
nnt,nnt,ortholog_one2one
si:rp71-19m20.1,C10orf88,ortholog_one2one
dis3,dis3,ortholog_one2one
nop53,nop53,ortholog_one2one
slc4a2a,slc4a2,ortholog_one2many
stox2a,stox2,ortholog_one2many
tpk1,tpk1,ortholog_one2one
mecr,mecr,ortholog_one2one
sf3b2,sf3b2,ortholog_one2one
hsh2d,hsh2d,ortholog_one2one
lmf2b,lmf2,ortholog_one2many
hsf2bp,hsf2bp,ortholog_one2one
stk11,stk11,ortholog_one2one
pms2,pms2,ortholog_one2one
st6galnac5b,st6galnac5,ortholog_one2many
mark3a,mark3,ortholog_one2many
htra4,htra4,ortholog_one2one
si:ch211-231f6.6,c16orf91,ortholog_one2one
fgd4a,fgd4,ortholog_one2many
si:ch73-343l4.2,,ortholog_many2many
hs6st3b,nr1d1,ortholog_many2many
hs6st3b,HS6ST3,ortholog_many2many
zgc:158564,kiaa0232,ortholog_one2one
plch2a,plch2,ortholog_one2many
zgc:158296,XB5932841 [provisional:cav2],ortholog_one2one
fam20b,fam20b,ortholog_one2one
armc1,armc1,ortholog_one2one
dap,dap,ortholog_one2one
pdgfc,pdgfc,ortholog_one2one
atp6v1aa,atp6v1a,ortholog_one2many
ush1c,ush1c,ortholog_one2one
smfn,rbm7,ortholog_one2one
klhl11,klhl11,ortholog_one2one
tph1b,,ortholog_one2many
rcvrn3,rcvrn.2,ortholog_one2many
cryaa,cryaa,ortholog_one2one
dysf,DYSF,ortholog_one2one
si:dkey-217f16.5,tmem184b,ortholog_one2many
abcg2b,abcg2,ortholog_one2one
ccr2,ccr2,ortholog_one2many
igf3,igf1,ortholog_one2one
pard3ab,pard3,ortholog_one2many
THEM6,them6,ortholog_one2many
dhdds,dhdds,ortholog_one2one
b2m,b2m,ortholog_one2many
mlh1,mlh1,ortholog_one2one
tspan18a,tspan18,ortholog_one2many
si:ch211-13f8.2,colgalt2,ortholog_one2many
adamts12,adamts12,ortholog_one2one
znf986,,ortholog_many2many
znf986,znf184,ortholog_many2many
rpl34,rpl34,ortholog_one2many
rpl34,,ortholog_one2many
them6,them6,ortholog_one2many
atp5pb,atp5pb,ortholog_one2one
wwox,wwox,ortholog_one2one
il1fma,il1b,ortholog_one2many
zgc:77375,cecr5,ortholog_one2one
ggt1l2.2,ggt1,ortholog_one2many
rfc5,rfc5,ortholog_one2one
napbb,napb,ortholog_one2many
cacna1eb,cacna1e,ortholog_one2many
myl2b,myl2,ortholog_one2many
abrab,abra,ortholog_one2one
nif3l1,nif3l1,ortholog_one2one
adgrb3,adgrb3,ortholog_one2one
decr2,decr2,ortholog_one2one
atp5f1c,ehmt1,ortholog_one2one
nrgna,spa17,ortholog_one2many
tyro3,tyro3,ortholog_one2one
trpc5b,trpc5,ortholog_one2many
itpk1b,itpk1,ortholog_one2many
myo1g,,ortholog_one2one
rassf8b,RASSF8,ortholog_one2many
poli,poli,ortholog_one2one
smarca4a,smarca4,ortholog_one2many
isy1,isy1,ortholog_one2one
si:ch73-233f7.1,pcdha13,ortholog_one2many
fbrs,fbrs,ortholog_one2one
eprs1,eprs1,ortholog_one2one
hmgb3b,hmgb3,ortholog_one2many
zgc:162144,,ortholog_one2many
kif6,kif6,ortholog_one2one
stab1,STAB1,ortholog_one2one
zpax4,,ortholog_many2many
zpax4,zp2,ortholog_many2many
cxcl12a,cxcl12,ortholog_one2many
wdfy2,wdfy2,ortholog_one2one
mmp28,mmp28,ortholog_one2one
loxa,lox,ortholog_one2one
gramd4b,gramd4,ortholog_one2many
mvp,mvp,ortholog_one2one
aclyb,acly,ortholog_one2many
smap2,smap2,ortholog_one2one
wsb2,wsb2,ortholog_one2one
znf644b,znf644,ortholog_one2many
cul3b,cul3,ortholog_one2one
mmp16b,mmp16,ortholog_one2many
vsnl1a,vsnl1,ortholog_one2many
nptnb,nptn,ortholog_one2many
ppardb,ppard,ortholog_one2many
lhx9,lhx9,ortholog_one2one
glt8d1,glt8d1,ortholog_one2one
col18a1a,col18a1,ortholog_one2many
si:dkey-152b24.8,,ortholog_one2many
taf5,taf5,ortholog_one2one
pglyrp6,pglyrp2,ortholog_one2many
spata2l,spata2l,ortholog_one2one
cldn10a,,ortholog_one2many
ampd3a,ampd3,ortholog_one2many
si:dkey-152b24.7,,ortholog_one2many
tctex1d1,dynlt5,ortholog_one2one
tomm20b,tomm20,ortholog_one2many
skiv2l,skiv2l,ortholog_one2one
tgif1,tgif1,ortholog_one2one
cln3,cln3,ortholog_one2one
s1pr4,s1pr4,ortholog_one2one
her6,hes1,ortholog_one2one
pard6ga,pard6g,ortholog_one2many
ATP11B,atp11b,ortholog_one2one
lrrc24,lrrc24,ortholog_one2one
rec114,REC114,ortholog_one2one
si:ch1073-390k14.1,XB5887600 [provisional:cry1],ortholog_one2one
mbtd1,mbtd1,ortholog_one2one
gfra4b,pomc,ortholog_one2many
prkar2aa,prkar2a,ortholog_one2many
CHST12,chst12,ortholog_one2many
gtdc1,gtdc1,ortholog_one2one
si:dkeyp-115e12.6,cenpf,ortholog_one2one
grip2a,grip2,ortholog_one2many
dcun1d3,dcun1d3,ortholog_one2one
C5H9orf85,c9orf85,ortholog_one2one
erap1a,erap1,ortholog_one2many
rapgef1a,rapgef1,ortholog_one2many
hmbox1a,hmbox1,ortholog_one2many
zgc:174938,,ortholog_one2many
arl6ip5b,arl6ip5,ortholog_one2many
themis,themis,ortholog_one2one
mkrn4,mkrn3,ortholog_one2one
rbm34,rbm34,ortholog_one2one
retsatl,,ortholog_one2many
ap2a1,aqp10,ortholog_one2one
psme3ip1,psme3ip1,ortholog_one2one
si:ch73-343l4.1,,ortholog_many2many
psmd8,psmd8,ortholog_one2one
pygmb,pygb,ortholog_one2many
strap,strap,ortholog_one2one
lhx6,lhx6,ortholog_one2many
zgc:158423,slc3a2,ortholog_one2many
pccb,pccb,ortholog_one2one
si:ch211-261n11.8,,ortholog_one2many
pigrl4.2,,ortholog_many2many
pigrl4.2,pigr,ortholog_many2many
si:ch211-59d15.9,SAYSD1,ortholog_one2one
si:ch211-251b21.1,grik5-like.1,ortholog_one2many
camkvl,XB22062963 [provisional:camkv],ortholog_one2one
aff3,aff3,ortholog_one2one
nsd3,nsd3,ortholog_one2one
cracr2b,cracr2b,ortholog_one2one
atp5md,atp5mk,ortholog_one2one
tom1,tom1,ortholog_one2one
si:ch211-261n11.5,lrif1,ortholog_one2one
mtmr7a,mtmr7,ortholog_one2many
ano9a,,ortholog_many2many
ccdc15,ccdc15,ortholog_one2one
rangap1b,rangap1,ortholog_one2many
rnf40,rnf40,ortholog_one2one
mrrf,mrrf,ortholog_one2one
cabp1a,cabp1,ortholog_one2many
rint1,rint1,ortholog_one2one
ggnbp2,ggnbp2,ortholog_one2one
kdm5c,kdm5c,ortholog_one2one
setx,setx,ortholog_many2many
setx,mov10l1,ortholog_many2many
stag1a,stag1,ortholog_one2one
kcmf1,kcmf1,ortholog_one2one
arrdc3a,arrdc3,ortholog_one2one
zgc:154093,XB5822256 [provisional:cdc42ep2],ortholog_one2one
zgc:136493,,ortholog_one2one
nelfe,nelfe,ortholog_one2one
gpcpd1,gpcpd1,ortholog_one2one
saal1,saal1,ortholog_one2one
ing2,ing2,ortholog_one2one
smc1b,smc1b,ortholog_one2one
mgat4a,mgat4a,ortholog_one2one
nxph2b,rbm38,ortholog_one2many
srcap,srcap,ortholog_one2one
dkk2,dkk2,ortholog_one2one
amh,amh,ortholog_one2one
si:dkey-217f16.6,tnrc6b,ortholog_one2many
si:dkey-97a13.6,helz2,ortholog_one2many
bag3,bag3,ortholog_one2one
rbm18,rbm18,ortholog_one2one
sod3b,sod3,ortholog_one2many
slc44a5b,slc44a5,ortholog_one2many
isl2b,isl2,ortholog_one2many
pdf,pdf,ortholog_one2one
pdgfbb,pdgfb,ortholog_one2many
sf3b1,sf3b1,ortholog_one2one
si:dkey-57n24.6,cfap92,ortholog_one2one
polr1a,polr1a,ortholog_one2one
asxl2,asxl2,ortholog_one2one
lmod1b,lmod1,ortholog_one2many
ppp1r9a,ppp1r9a,ortholog_one2one
fli1b,,ortholog_one2one
ntm,igsf5,ortholog_many2many
ntm,opcml,ortholog_many2many
espnlb,,ortholog_one2many
,gpt,ortholog_one2many
otud5a,,ortholog_one2many
arhgap15,arhgap15,ortholog_one2one
myct1a,myct1,ortholog_one2many
zp2l1,,ortholog_many2many
prph2lb,prph2l,ortholog_one2many
prkceb,prkce,ortholog_one2many
mrps6,mrps6,ortholog_one2one
serac1,serac1,ortholog_one2one
slc45a4b,slc45a4,ortholog_one2many
mycbp2,mycbp2,ortholog_one2one
ctdsp2,ctdsp2,ortholog_one2one
camk2g1,camk2g,ortholog_one2many
dnase1l1,DNASE1L1,ortholog_one2one
alkal2a,alkal2,ortholog_one2many
dlgap5,dlgap5,ortholog_one2one
drd2l,htr1a,ortholog_one2one
gkap1,gkap1,ortholog_one2one
commd4,commd4,ortholog_one2one
lta4h,lta4h,ortholog_one2one
tbce,tbce,ortholog_one2one
zc3h4,zc3h4,ortholog_one2one
luzp2,luzp2,ortholog_one2one
st6gal2b,st6gal2,ortholog_one2many
enpep,enpep,ortholog_one2one
mlip,mlip,ortholog_one2one
arid1aa,,ortholog_many2many
arid1aa,arid1a,ortholog_many2many
wnt4,wnt4,ortholog_one2one
slc6a2,slc6a2,ortholog_one2one
chd8,chd8,ortholog_one2one
col4a5,col4a5,ortholog_one2one
pgm2l1,pgm2l1,ortholog_one2one
psmd14,psmd14,ortholog_one2one
thap11,thap11,ortholog_one2one
camk4,camk4,ortholog_one2one
kcnq2b,kcnq2,ortholog_one2many
baz2a,baz2a,ortholog_one2one
zgc:114104,krcc1,ortholog_one2one
pafah1b2,pafah1b2,ortholog_one2one
sec22bb,sec22b,ortholog_one2many
chtopb,chtop,ortholog_one2many
