Gene name,Chicken gene name,Chicken homology type
abcf2a,ABCF2,ortholog_one2many
taar13d,TAAR5,ortholog_one2many
usta,UST,ortholog_one2many
mep1a.1,MEP1A,ortholog_one2one
c1qtnf12,C1QTNF12,ortholog_one2one
cgnb,CGN,ortholog_one2many
clcn5b,CLCN5,ortholog_one2many
sh3yl1,SH3YL1,ortholog_one2one
tln2b,TLN2,ortholog_one2many
tmem192,TMEM192,ortholog_one2one
srd5a3,SRD5A3,ortholog_one2one
rad54l,RAD54L,ortholog_one2one
znf385a,ZNF385A,ortholog_one2one
adamts6,ADAMTS6,ortholog_one2one
pcbp3,,ortholog_one2one
alx4a,ALX4,ortholog_one2many
st6galnac1.2,ST6GALNAC1,ortholog_one2many
cluha,CLUH,ortholog_one2one
taar13c,TAAR5,ortholog_one2many
serpine3,SERPINE3,ortholog_one2one
slc23a3,SLC23A3,ortholog_one2one
phc2a,PHC3,ortholog_one2many
rcan1a,RCAN1,ortholog_one2many
rpgra,RPGR,ortholog_one2many
tmem97,TMEM97,ortholog_one2one
si:ch1073-342h5.2,LRRC41,ortholog_one2one
eif2b3,EIF2B3,ortholog_one2one
tcea3,TCEA3,ortholog_one2one
crls1,CRLS1,ortholog_one2one
ell,ELL,ortholog_one2one
znf236,ZNF236,ortholog_one2one
vamp3,VAMP3,ortholog_one2one
ksr1b,KSR1,ortholog_one2many
slc8a2a,SLC8A2,ortholog_one2one
rapgef1b,RAPGEF1,ortholog_one2many
mrps18a,MRPS18A,ortholog_one2one
si:ch211-9d9.8,,ortholog_many2many
si:ch211-9d9.8,PIGR,ortholog_many2many
klhl40a,KLHL40,ortholog_one2many
plxnb1a,PLXNB3,ortholog_one2many
ift20,IFT20,ortholog_one2one
mespab,,ortholog_many2many
mespab,MESP1,ortholog_many2many
lrrn1,LRRN1,ortholog_one2one
selenoh,CENPA,ortholog_one2one
efcab11,EFCAB11,ortholog_one2one
nsmfa,NSMF,ortholog_one2many
avl9,AVL9,ortholog_one2one
hhatla,HHATL,ortholog_one2many
fkbp11,FKBP11,ortholog_one2one
unc93b1,UNC93B1,ortholog_one2one
si:dkeyp-7a3.1,,ortholog_one2one
met,MET,ortholog_one2many
zdhhc2,ZDHHC2,ortholog_one2one
wnt7ba,WNT7B,ortholog_one2many
BX663503.3,,ortholog_one2one
crocc2,CEP250,ortholog_many2many
cmbl,,ortholog_one2many
nradd,,ortholog_one2one
vcanb,VCAN,ortholog_one2many
gh1,GH,ortholog_one2one
ccdc97,CCDC97,ortholog_one2one
slc6a1l,,ortholog_one2many
ddb2,DDB2,ortholog_one2one
ywhabb,YWHAB,ortholog_one2many
col19a1,COL17A1,ortholog_one2one
ankle2,ANKLE2,ortholog_one2one
cilp2,CILP2,ortholog_one2one
gem,GEM,ortholog_one2one
fbln2,FBLN2,ortholog_one2one
celf1,CELF1,ortholog_one2one
zgc:92107,,ortholog_one2many
trim55b,TRIM55,ortholog_one2many
cct5,CCT5,ortholog_one2one
FAM163A,FAM163A,ortholog_one2many
nceh1a,NCEH1,ortholog_one2many
srrd,SRRD,ortholog_one2one
timm10,TIMM10,ortholog_one2one
amotl2b,AMOTL2,ortholog_one2many
olfml3a,OLFML3,ortholog_one2many
tti2,TTI2,ortholog_one2one
htr4,HTR4,ortholog_one2one
zgc:114200,,ortholog_one2one
si:dkey-261h17.1,CD34,ortholog_one2many
pdcd2,PDCD2,ortholog_one2one
mat1a,MAT1A,ortholog_one2one
scfd1,SCFD1,ortholog_one2one
cyp20a1,CYP20A1,ortholog_one2one
pold3,POLD3,ortholog_one2one
fance,FANCE,ortholog_one2one
tmem183a,TMEM183A,ortholog_one2one
dnajc28,DNAJC28,ortholog_one2one
mak16,MAK16,ortholog_one2one
trnt1,TRNT1,ortholog_one2one
nudcd1,NUDCD1,ortholog_one2one
tbp,TBP,ortholog_one2one
dlx4b,Dlx4,ortholog_one2many
,,ortholog_one2many
chrm2a,CHRM2,ortholog_one2many
mab21l3,MAB21L3,ortholog_one2one
rpa2,RPA2,ortholog_one2one
mtrr,MTRR,ortholog_one2one
sgo1,SGO1,ortholog_one2one
oaz2a,OAZ2,ortholog_one2many
eya4,EYA4,ortholog_one2one
nova2,,ortholog_many2many
nova2,NOVA1,ortholog_many2many
eri1,ERI1,ortholog_one2one
zgc:103759,NUDT16L1,ortholog_one2one
nle1,NLE1,ortholog_one2one
dlat,DLAT,ortholog_one2one
dtnbp1a,DTNBP1,ortholog_one2many
mlpha,MLPH,ortholog_one2many
crtac1a,CRTAC1,ortholog_one2many
atxn10,ATXN10,ortholog_one2one
pus7l,PUS7L,ortholog_one2one
kbtbd4,KBTBD4,ortholog_one2one
pigr,,ortholog_many2many
pigr,PIGR,ortholog_many2many
frmd4ba,FRMD4B,ortholog_one2many
l3mbtl1a,L3MBTL1,ortholog_one2one
llgl1,LLGL1,ortholog_one2one
cars2,CARS2,ortholog_one2one
eif4a2,EIF4A2,ortholog_one2one
kcnk3a,KCNK3,ortholog_one2one
mespbb,,ortholog_many2many
mespbb,MESP1,ortholog_many2many
cited4a,CITED4,ortholog_one2many
afap1l1b,AFAP1L1,ortholog_one2many
phka2,PHKA2,ortholog_one2one
syt6a,SYT6,ortholog_one2many
TRAPPC9,TRAPPC9,ortholog_one2many
csdc2a,CSDC2,ortholog_one2many
kdr,KDR,ortholog_one2one
irx6a,IRX6,ortholog_one2one
dab2ipa,DAB2IP,ortholog_one2many
phb,PHB1,ortholog_one2one
atp6v1ba,ATP6V1B2,ortholog_one2many
itgb6,ITGB6,ortholog_one2one
chmp6b,CHMP6,ortholog_one2many
rabgap1l,RABGAP1L,ortholog_one2many
wdfy4,WDFY4,ortholog_one2one
cpa4,CPA2,ortholog_one2many
mcf2la,MCF2L,ortholog_one2many
dpys,DPYS,ortholog_one2one
raf1b,RAF1,ortholog_one2many
cct7,CCT7,ortholog_one2one
ccdc191,CCDC191,ortholog_one2one
hmox1a,HMOX1,ortholog_one2one
dis3l2,DIS3L2,ortholog_one2one
blmh,BLMH,ortholog_one2one
med12,MED12,ortholog_one2one
si:dkey-183n20.15,,ortholog_one2one
tnni3k,TNNI3K,ortholog_one2one
rftn1a,RFTN1,ortholog_one2many
si:ch211-218o21.4,FAM107A,ortholog_one2many
LTN1,LTN1,ortholog_one2one
si:ch211-107n13.1,FAM110D,ortholog_one2one
sem1,SHFM1,ortholog_one2one
si:dkey-121b10.7,NDST3,ortholog_many2many
si:dkey-121b10.7,HS3ST3B1,ortholog_many2many
suz12b,SUZ12,ortholog_one2many
abcd4,ABCD4,ortholog_one2one
kat6a,KAT6A,ortholog_one2one
eif3jb,EIF3J,ortholog_one2many
mespba,,ortholog_many2many
mespba,MESP1,ortholog_many2many
pvalb9,OCM1,ortholog_one2many
kat7b,KAT7,ortholog_one2one
si:ch73-147o17.1,SVIP,ortholog_one2one
tnfrsf11a,TNFRSF25,ortholog_many2many
tnfrsf11a,TNFRSF11A,ortholog_many2many
tnfrsf11a,TNFRSF4,ortholog_many2many
tnfrsf11a,,ortholog_many2many
tnfrsf11a,TNFRSF18,ortholog_many2many
tnfrsf11a,TNFRSF8,ortholog_many2many
lrrc18a,LRRC18,ortholog_one2many
utrn,UTRN,ortholog_one2many
ndufv1,NDUFV1,ortholog_one2one
rab34a,RAB34,ortholog_one2one
morn5,MORN5,ortholog_one2one
cep162,CEP162,ortholog_one2one
arhgap27l,ARHGAP27,ortholog_one2many
CCDC92B,CCDC92B,ortholog_one2many
cdh17,CDH17,ortholog_one2one
mespaa,,ortholog_many2many
mespaa,MESP1,ortholog_many2many
fancg,FANCG,ortholog_one2one
stat5a,STAT5A,ortholog_one2many
dnajc19,DNAJC19,ortholog_one2one
gpr52,GPR52,ortholog_one2one
znf703,ZNF703,ortholog_one2one
ttpa,TTPA,ortholog_one2one
si:ch211-214p13.3,SMAGP,ortholog_many2many
cog5,COG5,ortholog_one2one
pigp,PIGP,ortholog_one2one
chac2,CHAC2,ortholog_one2one
cox6a2,,ortholog_one2one
crhb,CRH,ortholog_one2many
si:dkey-201i24.3,,ortholog_one2one
flvcr2b,FLVCR2,ortholog_one2many
zyg11,ZYG11A,ortholog_one2many
si:dkey-178o16.4,AVPR2,ortholog_one2one
ptpa,PTPA,ortholog_one2one
aspm,ASPM,ortholog_one2one
tbc1d15,TBC1D15,ortholog_one2one
marveld2a,MARVELD2,ortholog_one2many
arl6ip5a,ARL6IP5,ortholog_one2many
sec23ip,SEC23IP,ortholog_one2one
klhl14,KLHL14,ortholog_one2one
p2ry2.1,P2RY2,ortholog_one2many
ndnl2,NSMCE3,ortholog_one2one
si:ch211-117c9.5,SLC6A8,ortholog_one2many
ifnphi2,,ortholog_many2many
ifnphi2,IFNA3,ortholog_many2many
ifnphi2,IFNK,ortholog_many2many
ifnphi2,IFNW1,ortholog_many2many
mthfd1a,MTHFD1,ortholog_one2many
per3,PER3,ortholog_one2one
pdk1,PDK1,ortholog_one2one
cdh15,CDH15,ortholog_one2one
slc4a10b,SLC4A10,ortholog_one2many
TESK1,TESK1,ortholog_one2many
p2ry2.2,P2RY2,ortholog_one2many
cygb1,CYGB,ortholog_one2many
zgc:103564,RDM1,ortholog_one2one
lrrfip2,LRRFIP2,ortholog_one2one
si:ch211-218g4.2,,ortholog_one2many
ech1,ECH1,ortholog_one2one
ptgs1,PTGS1,ortholog_one2one
mcts1,MCTS1,ortholog_one2one
ext1c,,ortholog_one2one
fam76b,FAM76B,ortholog_one2one
dlx2b,DLX2,ortholog_one2many
tnksb,TNKS,ortholog_one2many
slc26a2,SLC26A2,ortholog_one2one
mars2,MARS2,ortholog_one2one
sncga,SNCG,ortholog_one2many
ep400,EP400,ortholog_one2one
dctn2,DCTN2,ortholog_one2one
p2ry2.3,P2RY2,ortholog_one2many
dpp4,DPP4,ortholog_one2one
jmjd7,JMJD7,ortholog_one2one
RASGRF1,RASGRF1,ortholog_one2one
pdcb,PDC,ortholog_one2many
tlcd2,,ortholog_one2one
napab,NAPA,ortholog_one2many
hook1,HOOK1,ortholog_one2one
cdc23,CDC23,ortholog_one2one
pfkfb2a,PFKFB2,ortholog_one2many
coro1ca,CORO1C,ortholog_one2many
cdkl5,CDKL5,ortholog_one2one
jag1b,JAG2,ortholog_many2many
relt,RELT,ortholog_one2one
scocb,SCOC,ortholog_one2many
klhl26,KLHL26,ortholog_one2many
klhl26,,ortholog_one2many
echdc2,ECHDC2,ortholog_one2one
pim3,PIM3,ortholog_one2one
trpm3,TRPM3,ortholog_one2one
kcnj2a,KCNJ2,ortholog_one2many
ahr2,AHR2,ortholog_one2one
LHX6,LHX6,ortholog_one2many
kcnab1a,KCNAB1,ortholog_one2many
dnajc3a,DNAJC3,ortholog_many2many
dnajc3a,DNAJC18,ortholog_many2many
zw10,ZW10,ortholog_one2many
zw10,,ortholog_one2many
fkbp5,FKBP5,ortholog_one2one
myl9a,MYL9,ortholog_one2many
zdhhc23b,ZDHHC23,ortholog_one2many
tbpl2,TBPL2,ortholog_one2one
zgc:174895,,ortholog_one2one
kif20a,KIF20A,ortholog_one2one
kcnj16,KCNJ16,ortholog_one2one
hdr,TNFRSF25,ortholog_many2many
hdr,TNFRSF11A,ortholog_many2many
hdr,TNFRSF4,ortholog_many2many
hdr,,ortholog_many2many
hdr,TNFRSF18,ortholog_many2many
hdr,TNFRSF8,ortholog_many2many
trappc9,TRAPPC9,ortholog_one2many
pcyt1ba,PCYT1B,ortholog_one2many
dnajc5ab,DNAJC5,ortholog_one2many
phf20a,PHF20,ortholog_one2many
pla2r1,PLA2R1,ortholog_one2one
bmf2,BMF,ortholog_one2one
ube2ql1,UBE2QL1,ortholog_one2one
abca1b,ABCA1,ortholog_one2many
tbc1d1,TBC1D1,ortholog_one2one
alpk3b,ALPK3,ortholog_one2many
ddx49,DDX49,ortholog_one2one
chchd4b,CHCHD4,ortholog_one2many
CSTPP1,CSTPP1,ortholog_one2one
coa7,COA7,ortholog_one2one
myo15aa,MYO15A,ortholog_one2many
swap70a,SWAP70,ortholog_one2many
tusc3,TUSC3,ortholog_one2one
map4l,,ortholog_one2many
pglyrp2,PGLYRP2,ortholog_one2many
tlr2,TLR2,ortholog_one2many
tlr2,TLR2A,ortholog_one2many
arf3b,ARF3,ortholog_one2many
pomt2,POMT2,ortholog_one2one
lmo7b,LMO7,ortholog_one2many
fam83hb,FAM83H,ortholog_one2many
loxhd1a,LOXHD1,ortholog_one2many
mmp14b,,ortholog_one2many
ctps1a,CTPS1,ortholog_one2many
ggt1a,GGT2,ortholog_one2many
gabrb3,GABRB3,ortholog_one2one
vmp1,VMP1,ortholog_one2one
sv2bb,SV2B,ortholog_one2many
dscaml1,DSCAML1,ortholog_one2one
dad1,DAD1,ortholog_one2one
ston2,STON2,ortholog_many2many
pdxka,PDXK,ortholog_one2many
hapln1b,HAPLN1,ortholog_one2many
tmem94,TMEM94,ortholog_one2one
grap2b,GRAP2,ortholog_one2many
chmp3,CHMP3,ortholog_one2one
ppp2r3a,PPP2R3A,ortholog_one2one
tlcd5b,TMEM136,ortholog_many2many
tlcd5b,TMEM136-1,ortholog_many2many
prpf19,PRPF19,ortholog_one2one
selenou1a,PRXL2A,ortholog_one2one
fbxo9,FBXO9,ortholog_one2one
kdm4b,KDM4B,ortholog_one2one
stab2,STAB2,ortholog_one2one
eya3,EYA3,ortholog_one2one
vps13a,VPS13A,ortholog_one2one
ptn,PTN,ortholog_one2one
snx12,SNX12,ortholog_one2one
muc5.1,OVOA,ortholog_one2many
gabra5,GABRA5,ortholog_one2one
cyb561a3a,CYB561A3,ortholog_one2many
ssr3,SSR3,ortholog_one2one
xrra1,XRRA1,ortholog_one2one
atp1a1b,ATP1A1,ortholog_one2many
flot2a,FLOT2,ortholog_one2many
ccdc80,CCDC80,ortholog_one2many
ltb4r,LTB4R,ortholog_one2one
FAM124A,FAM124A,ortholog_one2one
hnrnpk,HNRNPK,ortholog_many2many
hnrnpk,HNRNPKL,ortholog_many2many
sash1a,SASH1,ortholog_one2many
clstn1,CLSTN1,ortholog_one2one
col11a1a,COL11A1,ortholog_one2many
slc35a5,SLC35A5,ortholog_one2one
pawr,PAWR,ortholog_one2one
KYAT3,KYAT3,ortholog_one2many
dync2li1,DYNC2LI1,ortholog_one2one
spint2,,ortholog_one2one
fbl,,ortholog_one2one
rpl14,RPL14,ortholog_one2one
tmem62,TMEM62,ortholog_one2one
nbeal2,NBEAL2,ortholog_one2one
alox5b.3,ALOX5,ortholog_one2many
cbx6a,NPTXR,ortholog_one2many
neu3.1,NEU3,ortholog_one2many
creld2,CRELD2,ortholog_one2one
caprin1a,CAPRIN1,ortholog_one2many
ppp1r3b,PPP1R3B,ortholog_one2one
march1,MARCH1,ortholog_one2one
cetn2,CETN1,ortholog_one2one
sftpba,,ortholog_many2many
robo4,CNTN2,ortholog_one2one
fam185a,FAM185A,ortholog_one2one
cul4a,CUL4A,ortholog_one2one
mcama,MCAM,ortholog_one2many
alkbh8,ALKBH8,ortholog_one2one
cep170aa,CEP170,ortholog_one2one
hmgxb3,HMGXB3,ortholog_one2one
ylpm1,YLPM1,ortholog_one2one
si:dkey-18j18.3,C2orf50,ortholog_one2one
dldh,DLD,ortholog_one2one
flrt1b,FLRT1,ortholog_one2one
kcnk9,KCNK9,ortholog_one2one
atp5pf,ATP5PF,ortholog_one2many
r3hcc1l,R3HCC1L,ortholog_one2one
c1galt1c1,C1GALT1C1,ortholog_one2one
drg2,DRG2,ortholog_one2one
rsph9,RSPH9,ortholog_one2one
uqcrh,UQCRHL,ortholog_one2one
aco2,ACO2,ortholog_one2one
ACAP2,ACAP2,ortholog_one2many
kcnf1b,KCNF1,ortholog_one2many
ndufa8,NDUFA8,ortholog_one2one
scamp2,SCAMP2,ortholog_one2many
ubqln4,UBQLN4,ortholog_one2one
wsb1,WSB1,ortholog_one2one
sox1a,SOX1,ortholog_one2many
coq10b,COQ10B,ortholog_one2one
znf652,ZNF652,ortholog_one2one
fgf20a,FGF20,ortholog_one2many
ctdsplb,CTDSPL,ortholog_one2many
hadhab,HADHA,ortholog_one2many
plcxd3,PLCXD3,ortholog_one2one
asb3,ASB3,ortholog_one2one
foxred2,FOXRED2,ortholog_one2one
kansl1l,KANSL1L,ortholog_one2one
srpx,SRPX,ortholog_one2one
zfyve16,,ortholog_one2one
dcp2,DCP2,ortholog_one2one
mkrn2,MKRN2,ortholog_one2one
sp6,SP6,ortholog_one2one
mapk12a,MAPK12,ortholog_one2many
abi1b,,ortholog_many2many
anapc1,ANAPC1,ortholog_one2one
lzic,LZIC,ortholog_one2one
zbtb25,ZBTB25,ortholog_one2one
zgc:158868,,ortholog_one2many
btf3,,ortholog_one2one
manf,MANF,ortholog_one2one
kcnj11,KCNJ11,ortholog_one2one
slc17a9b,SLC17A9,ortholog_one2many
neu3.2,NEU3,ortholog_one2many
nup42,,ortholog_one2many
nup42,NUP42,ortholog_one2many
frmd8,,ortholog_one2one
pvalb3,,ortholog_one2many
si:dkey-46g23.2,OVST,ortholog_many2many
si:dkey-46g23.2,,ortholog_many2many
eif5a,EIF5A2,ortholog_one2many
tiparp,TIPARP,ortholog_one2one
csde1,CSDE1,ortholog_one2many
mif,MIF,ortholog_one2one
galr2a,GALR2,ortholog_one2one
dnal4a,DNAL4,ortholog_one2many
cryz,CRYZ,ortholog_one2one
bin1a,BIN1,ortholog_one2many
nmnat1-rbp7a,FABP4,ortholog_many2many
nmnat1-rbp7a,FABP9,ortholog_many2many
nmnat1-rbp7a,FABP5,ortholog_many2many
slc25a46,SLC25A46,ortholog_one2one
pvalb2,,ortholog_one2many
mrap2a,MRAP2,ortholog_one2one
klhl21,KLHL21,ortholog_one2one
acd,,ortholog_one2one
aldh9a1a.2,ALDH9A1,ortholog_one2many
pdk3a,PDK3,ortholog_one2many
gfer,GFER,ortholog_one2one
sec61a1,SEC61A1,ortholog_one2many
shprh,SHPRH,ortholog_one2one
ELOB,ELOB,ortholog_one2many
rbp7a,FABP4,ortholog_many2many
rbp7a,FABP9,ortholog_many2many
rbp7a,FABP5,ortholog_many2many
gid8b,GID8,ortholog_one2many
apbb1ip,APBB1IP,ortholog_one2one
zbtb1,ZBTB1,ortholog_one2one
znf541,,ortholog_one2one
rrm2b,RRM2B,ortholog_one2one
znf423,ZNF423,ortholog_one2one
golga3,GOLGA3,ortholog_one2one
ireb2,IREB2,ortholog_one2one
elob,ELOB,ortholog_one2many
colec12,COLEC12,ortholog_one2one
enpp1,ENPP1,ortholog_one2one
stag2b,STAG2,ortholog_one2many
gcna,,ortholog_one2one
gramd1c,GRAMD1C,ortholog_one2one
zgc:174193,HTRA2,ortholog_one2many
syngr3a,SYNGR3,ortholog_one2many
uba3,UBA3,ortholog_one2one
hccsa.2,HCCS,ortholog_one2many
rasa1b,,ortholog_many2many
syne1a,,ortholog_many2many
zc2hc1a,ZC2HC1A,ortholog_one2one
trappc12,TRAPPC12,ortholog_one2one
rpl10a,RPL10A,ortholog_one2one
lrriq3,,ortholog_many2many
mto1,MTO1,ortholog_one2one
klhl10a,KLHL10,ortholog_one2many
roraa,RORA,ortholog_one2one
fancc,FANCC,ortholog_one2one
reep1,REEP1,ortholog_one2one
fpgt,FPGT,ortholog_one2one
usp28,USP28,ortholog_one2one
iqca1,IQCA1,ortholog_one2one
ptgs2b,PTGS2,ortholog_one2many
tyw3,TYW3,ortholog_one2one
exoc7,EXOC7,ortholog_one2one
ndufa5,NDUFA5,ortholog_one2one
dlgap4a,DLGAP4,ortholog_one2many
pik3c3,PIK3C3,ortholog_one2one
tuba1a,,ortholog_many2many
bpgm,BPGM,ortholog_one2one
traf3ip1,TRAF3IP1,ortholog_one2one
nr2f1a,NR2F1,ortholog_one2many
iqsec3b,IQSEC3,ortholog_one2many
bag5,BAG5,ortholog_one2one
si:dkey-205h13.1,,ortholog_one2one
gask1b,GASK1B,ortholog_one2one
kcng1,KCNG1,ortholog_one2one
micu3a,MICU3,ortholog_one2many
ly75,LY75,ortholog_one2one
nisch,NISCH,ortholog_one2one
erbb3a,ERBB3,ortholog_one2many
aifm4,,ortholog_one2one
zc3h14,ZC3H14,ortholog_one2one
hprt1,HPRT1,ortholog_one2one
rbm15b,RBM15B,ortholog_one2one
ccdc96,,ortholog_one2one
itga6b,ITGA6,ortholog_one2many
vwa5b2,,ortholog_one2one
fkbp8,FKBP8,ortholog_one2one
ppwd1,PPWD1,ortholog_one2one
dlx5a,DLX5,ortholog_one2one
cpa2,CPA2,ortholog_one2many
n4bp2l2,,ortholog_one2one
lrrc75ba,LRRC75B,ortholog_one2many
si:ch211-113e8.10,ZFP91,ortholog_one2many
ackr3b,CXCR7,ortholog_one2many
mrpl35,MRPL35,ortholog_one2one
ren,REN,ortholog_one2one
glud1a,GLUD2,ortholog_one2many
cuedc1b,CUEDC1,ortholog_one2many
cacna1sa,CACNA1S,ortholog_one2many
neu3.3,NEU3,ortholog_one2many
cspp1b,CSPP1,ortholog_one2many
eef2kmt,EEF2KMT,ortholog_one2one
nipblb,,ortholog_many2many
b3gnt5b,B3GNT5,ortholog_one2many
zgc:113337,SMAGP,ortholog_many2many
dlx6a,DLX6,ortholog_one2one
pds5b,PDS5B,ortholog_one2one
selenoo1,SELENOO,ortholog_one2many
tdrd12,,ortholog_one2one
st3gal1,ST3GAL1,ortholog_one2many
,SHLD2,ortholog_one2one
ralgapa1,RALGAPA1,ortholog_one2one
abhd17c,ABHD17C,ortholog_one2many
reep5,REEP5,ortholog_one2one
p4ha1b,P4HA1,ortholog_one2one
trim2a,TRIM2,ortholog_one2one
C3H16orf89,C16orf89,ortholog_one2one
nfya,NFYA,ortholog_one2many
si:ch211-250n8.1,,ortholog_one2one
sgk2a,SGK2,ortholog_one2one
psme1,PSME1,ortholog_one2one
dio2,DIO2,ortholog_one2one
usp32,,ortholog_one2one
klhl20,KLHL20,ortholog_one2one
rev1,REV1,ortholog_one2one
rassf2b,RASSF2,ortholog_one2many
brd1b,BRD1,ortholog_one2many
faah,,ortholog_one2many
faah,VDHAP,ortholog_one2many
abi2b,ABI2,ortholog_one2many
spg7,SPG7,ortholog_one2one
plxna2,PLXNA2,ortholog_one2one
vezf1b,VEZF1,ortholog_one2many
unk,UNK,ortholog_one2one
chrm4a,CHRM4,ortholog_one2one
actr5,ACTR5,ortholog_one2one
ttyh3b,TTYH3,ortholog_one2many
sdad1,SDAD1,ortholog_one2one
cilp,CILP,ortholog_one2one
fynb,FYN,ortholog_one2many
chtf8,CHTF8,ortholog_one2one
ppt2,,ortholog_one2many
mast1b,MAST1,ortholog_one2many
sned1,SNED1,ortholog_one2one
si:ch211-210g13.5,,ortholog_one2one
smarcad1b,SMARCAD1,ortholog_one2many
thoc3,THOC3,ortholog_one2one
ERBB4,ERBB4,ortholog_one2many
paqr3a,PAQR3,ortholog_one2many
bpifcl,,ortholog_one2many
bpifcl,BPIFCB,ortholog_one2many
itm2cb,ITM2C,ortholog_one2many
cald1b,CALD1,ortholog_one2one
flr,TTC30B,ortholog_one2one
pjvk,GSDMA,ortholog_one2one
clic4,CLIC4,ortholog_one2one
si:ch73-186j5.2,,ortholog_one2many
cry2,CRY2,ortholog_one2one
rad51,RAD51,ortholog_one2one
eif1,EIF1,ortholog_one2one
si:ch211-262i1.6,FAM174C,ortholog_one2one
vrtn,VRTN,ortholog_one2one
ganc,GANC,ortholog_one2one
hoxb5b,HOXB5,ortholog_one2many
GTPBP8,GTPBP8,ortholog_one2one
lpar5a,LPAR5,ortholog_one2many
slc2a1a,SLC2A1,ortholog_one2many
dmrta2,DMRTA2,ortholog_one2one
hes6,HES6,ortholog_one2many
pole,POLE,ortholog_one2one
nsun6,NSUN6,ortholog_one2one
pdcl,PDCL,ortholog_one2one
slc26a4,SLC26A4,ortholog_one2one
vps33a,VPS33A,ortholog_one2one
ano3,ANO3,ortholog_one2one
phospho1,PHOSPHO1,ortholog_one2one
actl6a,ACTL6A,ortholog_one2one
rps6ka1,RPS6KA1,ortholog_one2one
mettl21a,METTL21A,ortholog_one2one
ripor1,RIPOR1,ortholog_one2one
mbpb,MBP,ortholog_one2many
tank,TANK,ortholog_one2one
csgalnact2,CSGALNACT2,ortholog_one2one
fam193a,FAM193A,ortholog_one2one
micu3b,MICU3,ortholog_one2many
oprd1b,OPRD1,ortholog_one2many
natd1,NATD1,ortholog_one2many
eif2b1,EIF2B1,ortholog_one2one
tada2b,TADA2B,ortholog_one2one
polr2d,POLR2D,ortholog_one2one
rbpms2b,RBPMS2,ortholog_one2many
neu3.4,NEU3,ortholog_one2many
has3,HAS3,ortholog_one2one
tbl1xr1b,TBL1XR1,ortholog_one2many
dazl,DAZL,ortholog_one2one
htr3a,HTR3A,ortholog_one2one
si:ch211-191d15.2,CHADL,ortholog_many2many
si:ch211-191d15.2,LGI1,ortholog_many2many
tma16,TMA16,ortholog_one2one
becn1,BECN1,ortholog_one2one
tiam2a,TIAM2,ortholog_one2many
c7a,C7,ortholog_one2many
zbtb16a,ZBTB32,ortholog_one2many
tcf7l2,TCF7L2,ortholog_one2one
slc7a3a,SLC7A3,ortholog_one2many
irx5a,IRX5,ortholog_one2one
c3b.1,C3,ortholog_one2many
tmem244,TMEM244,ortholog_one2one
lamtor2,LAMTOR2,ortholog_one2one
stub1,STUB1,ortholog_one2one
col6a2,COL6A2,ortholog_one2one
tmem63a,TMEM63A,ortholog_one2one
neurod2,NEUROD2,ortholog_one2one
myh11a,MYH11,ortholog_one2many
actc1c,ACTBL2,ortholog_one2one
mob2a,MOB2,ortholog_one2many
f5,F5,ortholog_one2one
lipia,LIPH,ortholog_one2many
lipia,,ortholog_one2many
zgc:123321,YIPF7,ortholog_one2one
alg1,,ortholog_one2one
casp23,CASP1,ortholog_one2many
zdhhc20b,ZDHHC20,ortholog_one2many
tert,TERT,ortholog_one2one
pak4,PAK4,ortholog_one2one
l3mbtl3,L3MBTL3,ortholog_one2one
tmem144b,TMEM144,ortholog_one2many
rbm25a,RBM25,ortholog_one2many
skap1,SKAP1,ortholog_one2one
rmdn3,RMDN3,ortholog_one2one
zgc:153681,,ortholog_one2many
dtx4b,DTX4,ortholog_one2many
ppp1r12a,PPP1R12A,ortholog_one2one
epcam,EPCAM,ortholog_one2one
rab42a,RAB39A,ortholog_one2many
slc35a3a,SLC35A3,ortholog_one2many
phf19,PHF19,ortholog_one2one
oxa1l,,ortholog_one2one
etnk1,ETNK1,ortholog_one2one
slc29a3,SLC29A3,ortholog_one2one
irx4b,IRX4,ortholog_one2many
ankrd54,ANKRD54,ortholog_one2one
irf2bp2b,IRF2BP2,ortholog_one2many
guca1g,GUCA1C,ortholog_many2many
guca1g,HPCAL4,ortholog_many2many
wdr73,,ortholog_one2one
mrps22,MRPS22,ortholog_one2one
uck1,UCK1,ortholog_one2one
wash1,WASHC1,ortholog_one2one
klf9,KLF9,ortholog_one2one
slc51a,SLC51AL,ortholog_one2one
TMEM263,,ortholog_one2one
grpel1,GRPEL1,ortholog_one2one
valopb,OPNVA,ortholog_one2many
relch,RELCH,ortholog_one2one
neu3.5,NEU3,ortholog_one2many
si:ch211-244o22.2,CDCA2,ortholog_one2one
rab39ba,RAB39B,ortholog_one2many
chst1,CHST1,ortholog_one2one
fam172a,FAM172A,ortholog_one2one
zgc:63568,ADH1C,ortholog_many2many
zgc:63568,,ortholog_many2many
zgc:63568,ADH6,ortholog_many2many
vax1,VAX1,ortholog_one2one
prkcba,PRKCB,ortholog_one2many
sgms2b,SGMS2,ortholog_one2many
psme3,PSME3,ortholog_one2one
dusp8a,DUSP8,ortholog_one2one
sash3,SASH3,ortholog_one2one
dnlz,DNLZ,ortholog_one2one
zcchc7,ZCCHC7,ortholog_one2one
rps6kal,RPS6KA6,ortholog_one2one
uts2b,UTS2,ortholog_one2many
mpi,MPI,ortholog_one2one
